,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0.04,0,0.03,0,0,0,0,0,0,0.92,9,https://stackoverflow.com/questions/59532385/blockchain-technology-overview
Doc1,0.01,0,0.16,0,0,0,0,0,0.25,0.59,9,https://stackoverflow.com/questions/59525641/what-happens-when-certificates-got-renewed-in-hyperledger-fabric
Doc2,0,0.07,0,0.44,0,0,0,0,0.48,0,8,https://stackoverflow.com/questions/59493047/hyperledger-fabric-configtxgen-error-reading-config-map-merge-requires-map-or
Doc3,0,0.77,0,0,0,0,0,0,0,0.21,1,https://stackoverflow.com/questions/59468223/how-to-use-fabric-sdk-go-to-dynamically-add-organizations-or-delete-organizatio
Doc4,0.7,0,0.23,0,0,0,0,0,0,0.06,0,https://stackoverflow.com/questions/59464207/how-to-store-chat-messages-in-blockchain
Doc5,0,0,0,0.45,0.12,0,0.04,0.27,0,0.12,3,https://stackoverflow.com/questions/59448694/unhandled-rejection-chainerrmissing-field-proof
Doc6,0,0,0,0.11,0,0,0,0.12,0.64,0.13,8,https://stackoverflow.com/questions/59441596/hyperledger-sawtooth-consuming-all-ram-in-the-docker-memoryerror-lmdb-ram
Doc7,0,0,0,0.15,0.14,0,0.58,0,0,0.13,6,https://stackoverflow.com/questions/59441099/web3js-contract-deploy-never-resolved-the-promise-or-never-exits
Doc8,0.12,0.13,0,0,0,0,0,0,0,0.74,9,https://stackoverflow.com/questions/59425683/what-is-the-default-and-maximum-block-size-in-hyperledger-sawtooth-blockchain
Doc9,0,0,0,0,0,0.63,0.06,0.07,0,0.22,5,https://stackoverflow.com/questions/59425458/when-is-an-account-in-polkadot-kusama-reaped
Doc10,0,0,0.28,0,0,0.39,0.12,0,0,0.21,5,https://stackoverflow.com/questions/59423792/how-do-i-sweep-a-polkadot-wallet
Doc11,0.08,0,0,0,0,0.21,0,0.08,0.35,0.27,8,https://stackoverflow.com/questions/59408805/in-hyperledger-fabric-does-a-client-send-a-transaction-to-all-orders-or-only-to
Doc12,0,0,0,0.17,0,0.08,0.47,0,0,0.28,6,https://stackoverflow.com/questions/59404306/transaction-has-been-reverted-by-the-evm-while-submiting-transaction-via-web3js
Doc13,0.59,0,0,0,0,0,0,0,0.4,0,0,https://stackoverflow.com/questions/59401290/msp-nodes-act-for-a-consensus-service-in-hyperledger-fabric
Doc14,0,0,0,0,0.57,0,0,0.35,0.07,0,4,https://stackoverflow.com/questions/59372517/how-do-you-fix-error-when-launching-ganache-after-installation
Doc15,0,0,0.21,0.65,0,0,0,0,0.15,0,3,https://stackoverflow.com/questions/59359370/can-i-pass-objects-to-a-hyperledger-fabric-transaction
Doc16,0,0,0,0,0,0,0,0,0,1,9,https://stackoverflow.com/questions/59352815/when-using-proof-of-stake-why-does-a-block-header-need-to-be-signed-by-the-mine
Doc17,0,0,0,0.22,0.11,0.03,0.55,0,0,0.08,6,https://stackoverflow.com/questions/59349258/call-constructor-and-deploy-with-web3-and-ropsten
Doc18,0,0,0,0,0,0,0,0.98,0,0,7,https://stackoverflow.com/questions/59305330/start-corda-cash-issuer
Doc19,0,0,0,0,0.89,0,0.1,0,0,0,4,https://stackoverflow.com/questions/59300796/how-to-install-packages-for-a-nodejs-blockchain-project
Doc20,0,0,0,0,0.02,0,0,0,0.53,0.45,8,https://stackoverflow.com/questions/59300390/hyperledger-fabric-channel-tx-and-genesis-block-very-unclear
Doc21,0,0.13,0,0,0,0,0.1,0.42,0,0.33,7,https://stackoverflow.com/questions/59298399/qldb-high-latency-of-5000ms
Doc22,0,0,0.25,0,0,0.06,0,0.19,0.49,0,8,https://stackoverflow.com/questions/59282756/generate-tls-certs-using-fabric-ca-server
Doc23,0,0,0.65,0.09,0,0,0.25,0,0,0,2,https://stackoverflow.com/questions/59276359/converting-bytecode-of-solidity-smart-contract-back-to-its-original-state
Doc24,0.15,0.3,0.29,0,0,0.07,0.08,0,0.11,0,1,https://stackoverflow.com/questions/59281021/aws-managed-blockchain-hyperledger-fabric-write-and-read-data-to-from-peer-n
Doc25,0,0,0,0,0,0.47,0,0,0.51,0.02,8,https://stackoverflow.com/questions/59268975/what-are-the-different-roles-in-hyperledger-fabric
Doc26,0,0,0.02,0.44,0,0,0.37,0,0,0.17,3,https://stackoverflow.com/questions/59260811/unable-to-fetch-transaction-value-and-senders-address-in-java-web3j-s-ethblock
Doc27,0.3,0.06,0.24,0,0,0,0,0,0,0.38,9,https://stackoverflow.com/questions/59253200/how-is-multiparty-computation-mpc-possible-using-blockchain
Doc28,0,0,0.65,0,0.1,0,0.23,0,0,0,2,https://stackoverflow.com/questions/59253130/how-to-make-corda-smart-contracts-to-run-inside-intel-sgx-enclaves
Doc29,0,0,0,0,0.99,0,0,0,0,0,4,https://stackoverflow.com/questions/59247439/getting-error-invalid-or-corrupt-jarfile-corda-jar-while-bootstrapping-the-co
Doc30,0,0,0,0,0.14,0.23,0,0.15,0.43,0.06,8,https://stackoverflow.com/questions/59207030/can-we-migrate-from-kafka1-4-0-to-raft1-4-3-if-channel-capabilities-are-disa
Doc31,0,0.1,0.02,0,0.27,0.24,0,0,0.36,0,8,https://stackoverflow.com/questions/59201793/fabric-cryptogen-tool-generating-incorrect-certificate-paths
Doc32,0,0,0,0.48,0.12,0,0.39,0,0,0,3,https://stackoverflow.com/questions/59190893/methods-myfunction-call-throws-returned-values-arent-valid-did-it-run-out
Doc33,0,0,0.15,0,0,0.01,0.77,0.06,0,0,6,https://stackoverflow.com/questions/59187593/deploy-smart-contract-on-ropsten-network
Doc34,0,0,0.03,0,0,0,0,0,0.91,0.06,8,https://stackoverflow.com/questions/59182124/channel-creation-fails-after-upgrading-hyperledger-fabric-network
Doc35,0.03,0,0.65,0,0,0,0,0,0.32,0,2,https://stackoverflow.com/questions/59177269/admin-users-created-by-ca-vs-admin-users-created-by-cryptogen-in-hyperle
Doc36,0,0.46,0,0,0,0,0,0.27,0.26,0,1,https://stackoverflow.com/questions/59174253/failed-to-establish-connection-between-1-organisation-peer-and-channel
Doc37,0,0,0.08,0,0.23,0,0.68,0,0,0,6,https://stackoverflow.com/questions/59172558/metamask-stopping-to-inject-web3-js
Doc38,0.05,0,0.83,0,0,0,0.12,0,0,0,2,https://stackoverflow.com/questions/59165184/could-we-consider-non-plugins-web-based-crypto-wallets-as-safe
Doc39,0,0,0,1,0,0,0,0,0,0,3,https://stackoverflow.com/questions/59163250/litecore-lib-function-to-sign-transactions-does-not-work-propertly
Doc40,0.14,0,0.08,0.41,0,0.04,0.33,0,0,0,3,https://stackoverflow.com/questions/59160115/how-can-i-get-the-data-stored-in-blockchain-and-then-display-on-webpage
Doc41,0,0.53,0.23,0,0,0,0.01,0,0.21,0.02,1,https://stackoverflow.com/questions/59146609/hyperledger-fabric-blockchain-network-from-scratch
Doc42,0,0,0,0,0,0.9,0,0.09,0,0,5,https://stackoverflow.com/questions/59125602/how-to-split-files-and-integrate-it-in-flutter
Doc43,0,0,0,0.97,0,0,0,0,0,0,3,https://stackoverflow.com/questions/59106964/how-to-broadcast-transaction-using-litecoire-lib
Doc44,0,0.47,0,0,0.52,0,0,0,0,0,4,https://stackoverflow.com/questions/59102988/could-not-run-corda-nodes-inside-docker-container-as-corda-tools-network-builder
