,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0,0.19,0.22,0.53,0,0,0,0.04,0,0,3,https://stackoverflow.com/questions/74962781/web3j-maven-plugin-fail-to-deserialize-<openzeppelin>-dependencies
Doc1,0.48,0,0,0,0,0,0,0.5,0,0,7,https://stackoverflow.com/questions/74962753/<p2p>-connection-between-devices-in-different-networks
Doc2,0,0,0,0,0.33,0.05,0.14,0,0.36,0.11,8,https://stackoverflow.com/questions/74955000/why-does-web3py-transtactions-not-work-in-my-code
Doc3,0.44,0,0.54,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/74951592/curl-35-error140943e8ssl-routinesssl3-read-bytes-while-installing-hyperled
Doc4,0.05,0,0.07,0,0,0,0.35,0.38,0,0.14,7,https://stackoverflow.com/questions/74947986/why-is-it-expensive-to-store-binary-data-on-ethereum-blockchain
Doc5,0.2,0,0,0,0,0.01,0,0.79,0,0,7,https://stackoverflow.com/questions/74946782/does-the-private-blockchain-have-to-follow-client-server-model-when-considering
Doc6,0,0,0.08,0,0,0,0,0,0,0.92,9,https://stackoverflow.com/questions/74943090/how-do-i-call-the-previous-node-of-an-unknow-object
Doc7,0,0.68,0,0,0.16,0.04,0,0.12,0,0,1,https://stackoverflow.com/questions/74939081/what-does-hardhat-deployed-do
Doc8,0,0.05,0,0.55,0,0,0.28,0.12,0,0,3,https://stackoverflow.com/questions/74930609/solidity-fallback-function-gas-limit
Doc9,0,0,0,0.08,0,0.91,0,0,0,0,5,https://stackoverflow.com/questions/74918084/promise-not-call-when-request-get-reject-from-external-wallet-walletconnect-rea
Doc10,0,0,0,0,0,0.06,0,0.1,0,0.83,9,https://stackoverflow.com/questions/74907064/fetching-block-from-cosmos-osmosis-blockchain-convert-bytes-to-string-then-decr
Doc11,0,0,0,0,0.6,0,0,0.33,0.06,0,4,https://stackoverflow.com/questions/74900977/validate-aptos-account-address-in-javascript
Doc12,0,0,0,0,0,0.44,0.05,0,0,0.5,9,https://stackoverflow.com/questions/74896673/how-do-i-add-timeout-to-the-function-which-is-continuously-running
Doc13,0,0,0,0,0,0.97,0,0,0,0,5,https://stackoverflow.com/questions/74895323/how-to-connect-to-metamask-with-react-native
Doc14,0,0,0,0,0,0,0,0.43,0.56,0,8,https://stackoverflow.com/questions/74890990/how-do-you-differentiate-an-<airdrop>-transaction-from-a-normal-transaction-in-the
Doc15,0,0,0.08,0.21,0.36,0.02,0,0,0,0.33,4,https://stackoverflow.com/questions/74889987/why-are-ethereum-<solana>-provider-javascript-files-in-my-browser
Doc16,0.97,0,0,0,0,0,0,0,0,0,0,https://stackoverflow.com/questions/74885245/how-to-add-a-new-organization-in-hyperledger-fabric
Doc17,0.42,0,0,0,0,0,0.49,0.07,0,0,6,https://stackoverflow.com/questions/74884315/why-goethereum-blockchain-<nodes>-sync-under-one-day
