,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0.28,0.05,0,0.14,0,0.54,0,0,0,0,5,https://stackoverflow.com/questions/53989069/how-to-complete-generatehash-function
Doc1,0,0.15,0,0.21,0,0.09,0,0.44,0,0.1,7,https://stackoverflow.com/questions/53966229/extracting-wallet-ids-public-keys-from-bitcoin-blockchain-data-structures
Doc2,0.21,0.03,0,0,0,0,0.44,0,0.32,0,6,https://stackoverflow.com/questions/53976057/source-file-requires-different-compiler-version-truffle
Doc3,0.76,0,0,0.09,0,0,0,0,0.1,0.05,0,https://stackoverflow.com/questions/53963573/cannot-fetch-the-current-provider-injected-by-metamask-into-a-constant
Doc4,0,0,0.01,0,0.86,0,0,0.12,0,0,4,https://stackoverflow.com/questions/53960969/how-to-configure-certificate-authority-for-hyperledger-fabric
Doc5,0.02,0,0,0,0,0.25,0,0,0,0.73,9,https://stackoverflow.com/questions/53958472/how-blockchain-verifies-the-chains-data-with-the-underline-implementation-of-da
Doc6,0.05,0.09,0,0.24,0,0,0.48,0.14,0,0,6,https://stackoverflow.com/questions/53941422/solidity-parsererror-expected-pragma-import-directive-or-contract-interface
Doc7,0,0,0.15,0,0.32,0,0,0,0,0.52,9,https://stackoverflow.com/questions/53938303/is-there-any-way-to-set-multiple-peers-using-hyperledger-composer
Doc8,0.47,0,0,0,0,0,0.02,0,0.5,0,8,https://stackoverflow.com/questions/53933213/can-not-connect-to-truffle-or-testrpc-with-ganache-gui
Doc9,0.18,0,0.03,0,0,0,0,0,0.72,0.07,8,https://stackoverflow.com/questions/53871309/geth-ethereum-client-connect-to-ganache
Doc10,0,0,0.63,0,0,0.08,0,0.29,0,0,2,https://stackoverflow.com/questions/53863856/cannot-create-transaction-block-cannot-define-a-new-channel-in-configtxgen
Doc11,0.07,0,0,0,0,0,0.33,0,0.59,0,8,https://stackoverflow.com/questions/53854755/running-an-oracle-written-in-node-js-after-compile-migrate-contracts
Doc12,0,0,0,0,0.99,0,0,0,0,0,4,https://stackoverflow.com/questions/53846664/while-working-with-hyperledger-fabric-createpeeradmincard-sh-command-not-wo
Doc13,0,0,0,0,0,0.46,0.09,0.37,0.08,0,5,https://stackoverflow.com/questions/53827274/use-of-bitcoin-address-as-a-security-measure
Doc14,0,0,0,0,0.01,0.1,0,0,0.89,0,8,https://stackoverflow.com/questions/53827202/can-ethereum-also-be-used-for-building-private-blockchain-networks
Doc15,0.26,0,0.33,0,0.4,0,0,0,0,0,4,https://stackoverflow.com/questions/53801467/hyperledger-fabric-error-canceled-desc-context-canceled
Doc16,0.01,0.01,0,0,0,0.08,0,0,0.02,0.88,9,https://stackoverflow.com/questions/53798511/blockchain-questions
Doc17,0,0.93,0,0.04,0,0.03,0,0,0,0,1,https://stackoverflow.com/questions/53796850/confirm-bitcoin-transaction
Doc18,0,0,0.48,0,0,0.05,0,0.07,0,0.4,2,https://stackoverflow.com/questions/53789690/how-endorser-peer-refuses-to-endorse-in-hyperledger-fabric-how-to-design-chainc
Doc19,0,0,0,0,0,0.78,0,0.21,0,0,5,https://stackoverflow.com/questions/53788151/getting-bitcoins-block-number-in-a-specific-date-and-hour
Doc20,0,0,0,0,0,0.24,0,0,0,0.76,9,https://stackoverflow.com/questions/53778527/trusting-the-private-permissioned-blockchain-infrastructure-provider
Doc21,0.01,0,0,0,0,0,0.11,0.05,0,0.82,9,https://stackoverflow.com/questions/53778130/store-data-off-blockchain-using-a-smart-contract
Doc22,0.12,0,0.45,0,0.42,0,0,0,0,0,2,https://stackoverflow.com/questions/53775582/when-i-building-my-first-network-in-hyperledger-i-failed-to-create-channel-and
Doc23,0.24,0.04,0,0,0,0.15,0,0,0.56,0,8,https://stackoverflow.com/questions/53739552/what-is-the-correct-link-to-open-bitcoin-wallets-with-address-and-amount
Doc24,0,0.13,0,0,0,0,0.14,0.3,0.42,0,8,https://stackoverflow.com/questions/53729055/statistics-on-success-fail-ratio-of-ethereum-transactions
Doc25,0,0.08,0,0.05,0,0,0,0.14,0,0.73,9,https://stackoverflow.com/questions/53723969/hyperledger-fabric-chaincode-data-model
Doc26,0.06,0,0,0,0,0.17,0,0,0,0.75,9,https://stackoverflow.com/questions/53723045/how-build-a-website-on-blockchain-to-prevent-it-from-blocking-in-some-countries
Doc27,0.25,0.18,0,0,0,0.25,0,0,0.3,0,8,https://stackoverflow.com/questions/53718941/how-to-get-pending-transactions-in-ethereum-using-web3
Doc28,0,0.07,0.17,0,0,0,0,0.17,0,0.59,9,https://stackoverflow.com/questions/53718242/hyperledger-fabric-uploaded-wrong-set-of-transactions-want-these-to-be-exclud
Doc29,0,0.07,0,0,0,0.08,0.26,0.05,0.3,0.24,8,https://stackoverflow.com/questions/53710157/questions-abous-blockchain-and-ethereum
Doc30,0,0.76,0,0,0,0,0,0.21,0,0,1,https://stackoverflow.com/questions/53706771/neo-blockchain-rpc-call-for-transaction-listing
Doc31,0,0.14,0,0,0,0.49,0,0,0,0.36,5,https://stackoverflow.com/questions/53702334/will-it-be-useful-to-use-a-blockchain-when-number-of-blocks-are-less
Doc32,0,0,0,0,0,0.28,0.08,0.62,0,0,7,https://stackoverflow.com/questions/53688038/generating-public-private-bitcoin-keys
Doc33,0,0,0,0,0.99,0,0,0,0,0,4,https://stackoverflow.com/questions/53684466/hyperledger-fabric-ubuntu-command-make-configtxgen-cryptogen-error-1
Doc34,0,0,0.25,0,0.55,0,0,0,0,0.18,4,https://stackoverflow.com/questions/53682907/why-we-need-to-use-solo-in-development-and-kafka-in-production-in-hyperledger-fa
Doc35,0,0,0,0,0.48,0,0,0.03,0,0.48,4,https://stackoverflow.com/questions/53682799/what-is-consensus-in-hyperledger-fabric
Doc36,0,0,0.35,0,0,0,0.02,0,0,0.63,9,https://stackoverflow.com/questions/53676388/hyperledger-fabric-design
Doc37,0,0,0.19,0,0.07,0,0,0,0,0.74,9,https://stackoverflow.com/questions/53670506/is-it-possible-to-split-the-ledger-into-multiple-parts-in-hyperledger-fabric
