,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0,0,0,0,0.43,0.11,0.45,0,0,0,6,https://stackoverflow.com/questions/70544672/ethereum-pre-defined-gas-price-in-<web3>-wallet-is-this-possible
Doc1,0,0,0.78,0,0,0.21,0,0,0,0,2,https://stackoverflow.com/questions/70540638/<hyperledger>-fabric-fabric-ca-client-error-code-71-authorization-failure
Doc2,0,0,0.18,0,0,0.08,0.63,0,0,0.11,6,https://stackoverflow.com/questions/70539986/<hyperledger>-fabric-world-state-is-it-immutable
Doc3,0.18,0,0,0,0.21,0.09,0,0.5,0,0.02,7,https://stackoverflow.com/questions/70539106/i-am-trying-to-connect-lottery-contract-to-react-application-using-metamask-but
Doc4,0,0,0,0,0.78,0.21,0,0,0,0,4,https://stackoverflow.com/questions/70536513/window-solana-not-found-in-<web3>js
Doc5,0.05,0,0,0,0.04,0,0,0.89,0,0.03,7,https://stackoverflow.com/questions/70533031/mintto-contract-from-<web3>-gives-error-erc721-transfer-to-non-erc721receiver-i
Doc6,0,0,0.06,0,0,0,0.93,0,0,0,6,https://stackoverflow.com/questions/70484932/smart-contracts-state-variables-on-the-<blockchain>
Doc7,0,0,0,0.94,0.02,0,0,0.04,0,0,3,https://stackoverflow.com/questions/70482694/how-to-set-the-receiver-of-eth-in-a-contract-to-send-eth-from-one-address-to-ano
Doc8,0,0.1,0,0,0,0.9,0,0,0,0,5,https://stackoverflow.com/questions/70482042/<cosmos-sdk>-couldnt-verify-signature-unable-to-verify-single-signer-signature
Doc9,0.23,0,0,0.59,0,0,0,0.18,0,0,3,https://stackoverflow.com/questions/70479688/gas-estimation-errored-with-the-following-message-execution-reverted
Doc10,0,0,0,0.04,0,0,0.16,0,0,0.8,9,https://stackoverflow.com/questions/70479012/does-timestamp-also-change-with-nonce-to-calculate-block-hash-in-<blockchain>-how
Doc11,0.24,0,0,0,0.49,0,0.25,0,0,0,4,https://stackoverflow.com/questions/70477152/avalanchejs-getutxos-couldnt-unmarshal-an-argument
Doc12,0,0.5,0,0,0,0,0.48,0,0,0,1,https://stackoverflow.com/questions/70477532/simulation-of-vanet-security-project
Doc13,0.91,0,0,0,0.03,0,0,0,0,0.06,0,https://stackoverflow.com/questions/70474706/i-am-having-error-inbox-invalid-number-of-parameters-for-undefined-got
Doc14,0,0,0,0,0.05,0,0,0,0,0.95,9,https://stackoverflow.com/questions/70466070/calculating-bitcoin-mining-difficulty
Doc15,0,0,0,0,0.17,0,0.57,0.15,0,0.1,6,https://stackoverflow.com/questions/70464441/nft-marketplaces-and-storage
Doc16,0.95,0,0,0,0.04,0,0,0,0,0,0,https://stackoverflow.com/questions/70464067/can-you-deploy-a-smart-contract-from-a-webpage
Doc17,0,0.14,0.85,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/70461487/cannot-run-peer-because-error-when-setting-up-msp
Doc18,0,0.16,0.3,0,0.03,0,0.37,0,0.13,0,6,https://stackoverflow.com/questions/70458061/how-to-mount-aws-ec2-files-on-aws-eks-as-presistent-volume
Doc19,0,0.92,0,0,0,0,0,0,0,0.06,1,https://stackoverflow.com/questions/70445209/how-to-run-a-local-aurora-node
Doc20,0,0.69,0.02,0,0.13,0,0,0,0.06,0.08,1,https://stackoverflow.com/questions/70452585/how-to-open-localhost8000-using-vps-ubuntu
Doc21,0,0,0,0.79,0,0,0,0.15,0,0.06,3,https://stackoverflow.com/questions/70438050/i-am-getting-the-called-function-should-be-payable-if-you-send-value-and-the-va
Doc22,0.26,0.42,0,0.03,0.17,0,0,0,0.11,0,1,https://stackoverflow.com/questions/70437644/error-custom-invalid-blockhash-when-solana-program-deploy
Doc23,0.3,0,0,0.45,0,0,0,0,0.09,0.16,3,https://stackoverflow.com/questions/70433315/check-to-make-sure-a-solidity-line-of-code-ran-successfully
Doc24,0.47,0.13,0,0,0.13,0,0,0.26,0,0,0,https://stackoverflow.com/questions/70417454/how-to-add-and-remove-liquidity-from-uniswap3-using-smart-contract-and-sdk
Doc25,0.04,0,0,0.23,0.03,0,0.22,0,0,0.48,9,https://stackoverflow.com/questions/70413532/how-to-specify-a-date-when-the-function-will-be-available-for-calling
Doc26,0.13,0,0,0,0.17,0.06,0.64,0,0,0,6,https://stackoverflow.com/questions/70412821/data-migration-using-ethereum-with-solidity
Doc27,0.18,0,0,0,0.28,0,0,0.07,0.46,0,8,https://stackoverflow.com/questions/70412807/typeerror-cannot-read-properties-of-undefined-reading-eth
Doc28,0,0,0,0.48,0,0,0,0.51,0,0,7,https://stackoverflow.com/questions/70412207/send-and-transfer-are-only-available-for-objects-of-type-address-payable-not-a
Doc29,0,0,0,0,0.36,0,0,0,0,0.62,9,https://stackoverflow.com/questions/70401721/<blockchain>-check-gap-api-returns-empty-json
Doc30,0,0,0,0,0.32,0.18,0.12,0.36,0.02,0,7,https://stackoverflow.com/questions/70401639/unable-to-call-safetransferfrom-method-from-a-js-api-file
Doc31,0,0.1,0,0,0,0.89,0,0,0,0,5,https://stackoverflow.com/questions/70392639/got-assertion-failed-error-while-trying-to-sign-a-transaction
Doc32,0,0,0,0,0.72,0.27,0,0,0,0,4,https://stackoverflow.com/questions/70378789/how-to-logout-from-metamask-account-in-reactjs-using-ethereum
Doc33,0.03,0,0,0.19,0,0,0.51,0,0,0.27,6,https://stackoverflow.com/questions/70377502/what-is-the-best-way-to-access-historical-price-data-from-chainlink-on-a-token-i
Doc34,0,0,0.55,0,0,0,0.05,0,0,0.39,2,https://stackoverflow.com/questions/70377318/in-<hyperledger>-fabric-is-there-a-way-to-decode-ledger-data-to-human-readable-fo
Doc35,0,0,0,0,0.04,0,0,0.96,0,0,7,https://stackoverflow.com/questions/70370978/how-get-estimated-gas-before-sending-the-transaction
Doc36,0,0.08,0,0,0.63,0.29,0,0,0,0,4,https://stackoverflow.com/questions/70366058/how-to-get-ens-domain-address-with-moralis
Doc37,0.45,0.53,0,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/70365414/typing-suggestion-for-contracts-within-brownie
Doc38,0.06,0.53,0,0,0.05,0.25,0,0,0.1,0,1,https://stackoverflow.com/questions/70364998/accounts-provided-by-ganache-cli-has-no-balance-at-all
Doc39,0.32,0,0,0,0.15,0,0,0.45,0.06,0.02,7,https://stackoverflow.com/questions/70364713/hardhat-test-functionname-is-not-a-function
Doc40,0,0,0.11,0,0,0,0.52,0,0,0.36,6,https://stackoverflow.com/questions/70363029/can-this-algorithm-achieve-eventual-consistency
Doc41,0.43,0,0,0.18,0.12,0.17,0,0,0.1,0,0,https://stackoverflow.com/questions/70353530/brownie-how-do-i-handle-exceptions
Doc42,0,0,0,0.43,0,0,0,0.56,0,0.02,7,https://stackoverflow.com/questions/70352271/what-can-i-do-to-my-contract-to-work-with-bep20-mainnet
Doc43,0,0,0,0,0,0.04,0.58,0,0,0.37,6,https://stackoverflow.com/questions/70348654/why-is-proof-of-work-necessary-in-<blockchain>
Doc44,0,0.07,0,0,0.3,0.26,0.16,0.21,0,0,4,https://stackoverflow.com/questions/70344582/how-can-i-identify-type-of-transferd-toke-in-my-website
Doc45,0,0,0,0,0.23,0,0.58,0.17,0,0,6,https://stackoverflow.com/questions/70340718/retrieve-minted-nfts-by-a-wallet-address-opensea
Doc46,0,0.08,0,0,0.13,0.07,0.72,0,0,0,6,https://stackoverflow.com/questions/70339790/whats-the-difference-between-eth-2-0-and-near
Doc47,0,0,0,0.37,0.62,0,0,0,0,0,4,https://stackoverflow.com/questions/70328031/how-to-get-the-failed-status-from-solidity-require-statement
Doc48,0.04,0,0,0,0.87,0.08,0,0,0.01,0,4,https://stackoverflow.com/questions/70325975/why-does-my-ethereum-on-event-listener-stop-firing
Doc49,0,0.49,0,0,0,0,0,0,0,0.5,9,https://stackoverflow.com/questions/70325963/substrate-<blockchain>-change-block-structure
Doc50,0,0.36,0.09,0,0,0,0,0,0,0.54,9,https://stackoverflow.com/questions/70323512/visualisation-of-decentralized-network
Doc51,0,0.48,0,0.34,0,0.17,0,0,0.01,0,1,https://stackoverflow.com/questions/70323039/how-to-get-test-coins-for-local-eth-testnet
Doc52,0.04,0,0,0,0.31,0,0,0,0.64,0,8,https://stackoverflow.com/questions/70320649/hello-im-having-trouble-deploying-a-contract-on-ganache-can-someone-please-ass
Doc53,0.74,0,0,0,0,0,0,0,0.26,0,0,https://stackoverflow.com/questions/70318661/i-couldnt-get-results-when-i-write-compiled-code-in-visual-studio-code-i-run-p
Doc54,0,0.72,0,0,0,0,0,0,0,0.26,1,https://stackoverflow.com/questions/70317749/how-can-i-connect-to-the-json-rpc-api-using-<python>-<blockchain>
Doc55,0.18,0,0,0,0,0.41,0.35,0,0,0.05,5,https://stackoverflow.com/questions/70313945/where-to-get-a-signature-for-smart-contract-interaction-via-block-explorer
Doc56,0.42,0,0,0,0,0,0,0,0.57,0,8,https://stackoverflow.com/questions/70312829/i-installed-brownie-and-after-installation-when-i-tried-to-see-the-version-of-it
Doc57,0,0,0,0,0,0.46,0.52,0,0,0,6,https://stackoverflow.com/questions/70310011/please-help-interpret-the-transaction-action-steps-in-this-flash-loan-transactio
Doc58,0,0,0,0.09,0,0,0.9,0,0,0,6,https://stackoverflow.com/questions/70304168/bsc-transaction-without-fees
Doc59,0.1,0,0,0,0.47,0,0,0.42,0,0,4,https://stackoverflow.com/questions/70304153/<web3>-exceptions-contractlogicerror-execution-reverted
Doc60,0.05,0,0,0,0,0.94,0,0,0,0,5,https://stackoverflow.com/questions/70303006/corda-signtransactionflow-and-sendandreceive
Doc61,0,0.03,0,0,0,0.94,0,0,0.02,0,5,https://stackoverflow.com/questions/70302685/is-it-possible-to-get-portfolio-balance-data-from-any-coinbase-account-without-u
Doc62,0.35,0.43,0,0.21,0,0,0,0,0,0,1,https://stackoverflow.com/questions/70301140/how-to-deploy-a-smartcontract-and-make-a-transfer-from-it-in-everscale-blockchai
Doc63,0,0,0,0,0,0.15,0.62,0,0,0.21,6,https://stackoverflow.com/questions/70299846/can-we-abort-a-transaction-in-<blockchain>
Doc64,0.23,0,0,0,0.59,0,0,0.06,0.11,0,4,https://stackoverflow.com/questions/70250349/smart-contract-wont-deploy-rpc-error-execution-being-revert-using-node-js-and
Doc65,0.01,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.33,0.01,6,https://stackoverflow.com/questions/70249296/bsc-scan-token-holders
Doc66,0,0,0,0,0,0,0.64,0.35,0,0,6,https://stackoverflow.com/questions/70248886/is-there-a-way-to-get-token-price-on-transfer-function-call
Doc67,0,0,0.57,0,0,0,0,0,0.42,0,2,https://stackoverflow.com/questions/70248025/docker-compose-command-not-displaying-url-for-project
Doc68,0,0,0,0,0,0,0.36,0,0,0.64,9,https://stackoverflow.com/questions/70234804/<blockchain>-consensus-51-vs-number-of-nodes-validation
Doc69,0,0.25,0,0,0.4,0,0.33,0,0,0,4,https://stackoverflow.com/questions/70233442/rinkeby-authenticated-faucet-is-offline
Doc70,0.19,0,0,0,0.53,0,0,0,0,0.27,4,https://stackoverflow.com/questions/70230747/how-to-verify-avalanche-block-is-accepted-with-<web3>-py
Doc71,0.76,0,0,0,0,0,0.22,0,0,0,0,https://stackoverflow.com/questions/70227723/nfts-to-pixels-in-map
Doc72,0,0,0,0,0.14,0.71,0,0.14,0,0,5,https://stackoverflow.com/questions/70227462/typeerror-this-is-undefined-in-rect-js-while-passing-bignumber-in-solana-rpc-re
Doc73,0.45,0,0.03,0.43,0,0,0.08,0,0,0,0,https://stackoverflow.com/questions/70224098/why-is-it-not-possible-to-reassign-the-value-in-the-contract-level-in-solidity
Doc74,0.44,0,0,0,0,0,0.18,0.38,0,0,0,https://stackoverflow.com/questions/70218889/what-is-the-tl-b-scheme-in-ton-solidity-and-how-to-use-it
Doc75,0,0,0,0,0,0.61,0.38,0,0,0,5,https://stackoverflow.com/questions/70214436/get-all-nfts-of-an-account-on-flow-<blockchain>
Doc76,0.05,0.1,0,0.02,0.09,0.32,0.42,0,0,0,6,https://stackoverflow.com/questions/70214101/sign-transaction-on-behalf-of-a-3rd-party-wallet
Doc77,0.62,0,0,0.19,0,0,0.09,0.09,0,0,0,https://stackoverflow.com/questions/70209083/can-smart-contracts-deploy-other-smart-contracts
Doc78,0,0,0.32,0,0,0,0.33,0,0,0.35,9,https://stackoverflow.com/questions/70208801/why-there-should-be-orderer-node-in-<hyperledger>-can-the-orderer-nodes-function
Doc79,0,0.96,0,0,0,0,0,0.03,0,0,1,https://stackoverflow.com/questions/70198331/how-to-add-validators-in-poa-system-node-template-in-runtime
Doc80,0.07,0,0,0.26,0,0,0.67,0,0,0,6,https://stackoverflow.com/questions/70192455/in-solidity-smart-contracts-what-variables-can-be-made-dynamic
Doc81,0,0,1,0,0,0,0,0,0,0,2,https://stackoverflow.com/questions/70194571/instantiate-chaincode-successful-but-chaincode-doesnt-appear
Doc82,0.25,0,0,0,0.32,0,0.41,0,0,0,6,https://stackoverflow.com/questions/70188352/popup-in-react-js-with-a-link
Doc83,0,0,0,0,0,0,0,1,0,0,7,https://stackoverflow.com/questions/70187616/how-to-read-recent-<transactions>-from-uniswap-v3-using-<python>
Doc84,0,0,0,0.42,0.32,0,0,0,0,0.25,3,https://stackoverflow.com/questions/70178516/why-assembly-delegatecall-returns-1-instead-of-0-when-calling-zero-0x000
Doc85,0,0,0,0,0.45,0.54,0,0,0,0,5,https://stackoverflow.com/questions/70178092/i-need-a-simple-way-to-sign-data-via-<web3>-and-metamask
Doc86,0,0,0.07,0,0,0.45,0.24,0,0,0.24,5,https://stackoverflow.com/questions/70177589/moving-nearprotocol-node-ip
Doc87,0,0.6,0,0,0,0.39,0,0,0,0,1,https://stackoverflow.com/questions/70171946/using-the-cli-how-do-i-get-the-balances-of-a-zenon-network-address
Doc88,0,0,0,0,0.31,0,0,0,0.44,0.23,8,https://stackoverflow.com/questions/70170903/how-do-i-get-the-stats-of-all-the-pillars-on-the-zenon-network
Doc89,0,0,0,0,0.07,0,0.91,0,0,0,6,https://stackoverflow.com/questions/70169820/ether-holding-time-for-the-dao-recursive-calls-vulnerability-case
Doc90,0.04,0,0,0.44,0,0,0.41,0.11,0,0,3,https://stackoverflow.com/questions/70164395/does-it-make-sense-to-manage-balance-manually-inside-smartcontract
Doc91,0,0.75,0,0,0.23,0,0,0,0,0,1,https://stackoverflow.com/questions/70164051/how-can-i-use-ganache-to-connect-to-a-remote-<blockchain>-network
Doc92,0.04,0,0,0,0.9,0.06,0,0,0,0,4,https://stackoverflow.com/questions/70162647/ethers-contract-on-method-no-mathing-event-error
Doc93,0.16,0,0,0,0.63,0.07,0,0.13,0,0,4,https://stackoverflow.com/questions/70162408/<web3>-swift-call-contract-using-skywinder-wrapper
Doc94,0,0,0,0,0.18,0.06,0.76,0,0,0,6,https://stackoverflow.com/questions/70157507/how-do-gasless-fee-<transactions>-work-on-the-polygonmatic-network
Doc95,0.27,0.11,0,0,0.39,0,0.08,0,0.05,0.09,4,https://stackoverflow.com/questions/70154653/cant-deploy-contract-from-<web3>-to-<geth>-node-error-transaction-has-been-rever
Doc96,0.12,0,0,0,0.36,0.12,0.05,0,0.1,0.25,4,https://stackoverflow.com/questions/70154448/then-function-never-running-for-call-to-<blockchain>
Doc97,0.06,0,0,0.32,0.05,0,0,0.01,0.55,0,8,https://stackoverflow.com/questions/70154420/how-can-i-debug-the-runtime-error-when-call-contract-transfer-method-in-solidity
Doc98,0.18,0,0,0.65,0,0.12,0,0.05,0,0,3,https://stackoverflow.com/questions/70150297/how-can-i-choose-which-account-is-the-selected-account-when-sending-coins
Doc99,0.85,0.11,0,0,0,0,0,0,0.04,0,0,https://stackoverflow.com/questions/70149869/deploying-a-smart-contract-using-hardhat-without-script
Doc100,0.02,0,0,0.09,0.46,0,0.42,0,0,0.01,4,https://stackoverflow.com/questions/70148274/is-smartcontract-the-only-way-to-transfer-ether-in-ethereum-network
Doc101,0.48,0,0.02,0.19,0,0.04,0,0.22,0.05,0,0,https://stackoverflow.com/questions/70146047/verify-publish-smart-contract-on-etherscan-rinkeby
Doc102,0.17,0,0,0.82,0,0,0,0,0,0,3,https://stackoverflow.com/questions/70143628/why-cant-i-transfer-ether-in-contract
